station,delay_mean,delay_p90,traffic,lat,lon,t2m_mean,precip_mean,wind_mean,freezing_rate,heavy_rain_rate,windy_rate
Słupca,0.16184016388633957,0.26696752411038116,1123.0,52.2907013,17.8716447,11.584676106770834,1.638594001531601,1.5159520531445811,0.0,0.0,0.0
Słupia,0.04555574160409386,0.100502512562814,186.41666666666666,54.2870772,17.3242956,10.3284912109375,2.14662766456604,1.7053539229435923,0.08333333333333333,0.0,0.0
Słupsk,0.13440031289971427,0.4190860215053764,1060.3666666666666,54.4635771,17.020948,10.5858154296875,2.21224245429039,2.154102396038276,0.0,0.0,0.0
Słupsk Północny,0.03147231995267658,0.0926395939086294,512.3333333333334,54.4835018,17.0144003,10.5858154296875,2.21224245429039,2.1541023960382764,0.0,0.0,0.0
Taciszów,0.0856964550083925,0.1232876712328767,532.75,50.3724629,18.5284318,11.534871419270834,2.1222438414891562,1.2988351484512706,0.08333333333333333,0.0,0.0
Taczanów,0.09080919682276953,0.1478155778440408,665.0,51.8409612,17.7561366,11.626505533854166,1.7969641586144764,1.520314943160501,0.0,0.0,0.0
Tantow,0.041666666666666664,0.0,0.16666666666666666,53.3257348,14.4145916,11.409220377604166,1.800788789987564,1.5202984876919006,0.0,0.0,0.0
Tarchały Wielkie,0.093181871780614,0.129389546753777,310.8333333333333,51.591556,17.7050627,11.7523193359375,1.9519042670726776,1.4510041590822211,0.0,0.0,0.0
Targowiska,0.051763126373085284,0.07106782106782106,59.888888888888886,52.5906609,22.8432809,10.796915690104166,1.604815865556399,1.4347686951198926,0.08333333333333333,0.0,0.0
Tarnawa Dolna,0.011233866442199768,0.02951388888888885,7.0,49.47358,22.25471,10.259806315104166,2.3247980574766793,1.1340389594193656,0.08333333333333333,0.0,0.0
Tarnobrzeg,0.15806523091244928,0.2537525074358442,314.55555555555554,50.5837775,21.7117863,11.638224283854166,1.7378335495789845,1.2064165075893696,0.08333333333333333,0.0,0.0
Tarnowiec,0.036217818293591254,0.0808080808080808,89.33333333333333,53.4935,14.91598,11.2601318359375,1.8664187888304393,1.572614168031459,0.0,0.0,0.0
Tarnowiec Brzeski,0.1153446262928528,0.1785714285714285,83.91666666666667,50.9138886,17.6522238,11.965861002604166,1.9501822739839554,1.2761409434511166,0.0,0.0,0.0
Tarnowo Pomorskie,0.15659841020003817,0.2621951219512195,338.6666666666667,53.3063513,15.366059,11.180216471354166,1.9766156772772472,1.469609125606204,0.0,0.0,0.0
Tarnowo Rogozińskie,0.15641479207760398,0.26293570036804503,564.9444444444445,52.8039252,16.9752883,11.4300537109375,1.6156294445196788,1.3837091570471731,0.0,0.0,0.0
Tarnowska Wola,0.12419383451374481,0.1716867469879518,347.6666666666667,51.6522814,20.0137659,11.189656575520834,1.6837681233882904,1.5486571149429968,0.08333333333333333,0.0,0.0
Tarnowskie Góry,0.029259336875330413,0.03850052290408127,867.1666666666666,50.4445194,18.8554757,11.179402669270834,2.2184211711088815,1.36206930147241,0.08333333333333333,0.0,0.0
Tarnów,0.091936575578262,0.21528598313812805,1460.0333333333333,50.0123784,20.9880739,11.392781575520834,1.9195259114106495,1.1557085448133606,0.08333333333333333,0.0,0.0
Tarnów Mościce,0.09455603544870908,0.15283373164902694,1053.388888888889,50.0064054,20.9239433,11.561564127604166,1.9016497830549877,1.1471339265562734,0.08333333333333333,0.0,0.0
Tarnów Opolski,0.09840681901399194,0.1416938110749185,597.6666666666666,50.5803405,18.0827155,11.793660481770834,2.0157734404007592,1.2987531547607265,0.08333333333333333,0.0,0.0
Tarzymiechy,0.11365909702693218,0.2566666666666666,294.5833333333333,50.8545719,23.1220821,11.032267252604166,1.7610877454280853,1.3425589790103336,0.08333333333333333,0.0,0.0
Tarło,0.06767075735889135,0.1104294478527607,325.1666666666667,51.5092031,22.6971274,11.307820638020834,1.6211236367623012,1.299157929732386,0.08333333333333333,0.0,0.0
Tczew,0.10742566443225876,0.2729170067599308,1950.138888888889,54.0869532,18.8000293,10.8480224609375,1.6798131217559178,1.5974933119931318,0.08333333333333333,0.0,0.0
Teresin Niepokalanów,0.09774394664221205,0.1233373639661426,1716.25,52.2022073,20.4163976,11.5716552734375,1.5264757772286732,1.4412079369812572,0.08333333333333333,0.0,0.0
Terespol,0.05720879706431492,0.11308591711034549,551.3888888888889,52.0756167,23.6133645,11.054728190104166,1.5401752293109894,1.4705580975634234,0.08333333333333333,0.0,0.0
Terespol Pomorski,0.09100899075981567,0.1236619473638495,493.6111111111111,53.4092853,18.3537954,11.0013427734375,1.7138296763102214,1.4947856651635072,0.08333333333333333,0.0,0.0
Tereszpol Biłgorajski,0.4089395537311494,0.660377358490566,59.916666666666664,50.5744144,22.8853001,11.028361002604166,1.8426933487256367,1.271550779291957,0.08333333333333333,0.0,0.0
Tleń,0.06834030483584842,0.1157894736842105,272.0833333333333,53.6146709,18.2686746,10.6907958984375,1.7688400944073994,1.5316690907573547,0.08333333333333333,0.0,0.0
Tomaszów Bolesławiecki,0.10748678626465995,0.1533816425120772,816.0833333333334,51.2603326,15.6823142,11.680867513020834,1.7924224187930424,1.3523001881263035,0.0,0.0,0.0
Tomaszów Mazowiecki,0.08699964226645279,0.20456989247311833,710.9583333333334,51.5194865,20.0337541,11.2362060546875,1.6880140155553818,1.5612919499298872,0.08333333333333333,0.0,0.0
Tomaszów Mazowiecki Białobrzegi,0.037015176477889794,0.0883620689655172,295.22222222222223,51.5245349,20.066018,11.241739908854166,1.6657138019800186,1.5604940423990143,0.08333333333333333,0.0,0.0
Tomaszówek,0.03711709398239386,0.0817261648493581,338.55555555555554,50.4367094,20.751619,11.4227294921875,1.7506733934084575,1.2131888164524534,0.08333333333333333,0.0,0.0
Topola-Osiedle,0.0848931268577082,0.1198040016333197,310.94444444444446,51.6152724,17.7624835,11.704630533854166,1.9536818514267604,1.4507083735918256,0.0,0.0,0.0
Toporów,0.35132902434964763,0.4401197604790419,340.0833333333333,50.7217879,21.3288769,10.8250732421875,1.8242075145244598,1.3204316104480147,0.08333333333333333,0.0,0.0
Topór,0.03320329276526571,0.0490533562822719,1140.75,51.1814047,17.2567593,11.739298502604166,2.062467763821284,1.3094584292291553,0.0,0.0,0.0
Toruń Czerniewice,0.07530059301637983,0.1065573770491803,821.0833333333334,52.9746537,18.6741753,11.309773763020834,1.7571243743101757,1.3986529913566936,0.0,0.0,0.0
Toruń Główny,0.07436741999583835,0.16146419472000864,1511.5,53.0001062,18.6146297,11.336629231770834,1.7297192613283794,1.3777047676395844,0.0,0.0,0.0
Toruń Kluczyki,0.05452165920190828,0.1069371488536342,1074.2222222222222,52.9900153,18.5783676,11.336629231770834,1.7297192613283794,1.3777047676395844,0.0,0.0,0.0
Toruń Miasto,0.08991544962429249,0.16896091205211725,810.9166666666666,53.0123138,18.6197194,11.336629231770834,1.7297192613283794,1.3777047676395844,0.0,0.0,0.0
Toruń Wschodni,0.08650889629013701,0.16066666666666668,973.2,53.0264709,18.6334589,11.336629231770834,1.7297192613283794,1.3777047676395844,0.0,0.0,0.0
Torzym,0.35358355689918364,0.440625,333.8333333333333,52.3138586,15.0828279,11.834676106770834,1.6454904476801555,1.2897123866565712,0.0,0.0,0.0
